成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
447	drugs520	0	-1	False	47780	0.0	47780	0
448	drugs520	0	-1	False	246920	258.972	246920	0
449	drugs520	0	-1	False	11050	0.0	11050	0
450	drugs520	0	-1	False	22230	0.0	22230	0
451	drugs520	0	-1	False	41630	0.0	41630	0
452	黄旭东	2089468	0	True	374650	496.104	207	0.001
453	drugs520	0	-1	True	561360	13.0749	561360	0
454	drugs520	0	-1	True	620540	1371.41	620540	0
455	drugs520	0	-1	False	144500	0.0	144500	0
456	drugs520	0	-1	True	763550	594.553	763550	0
457	drugs520	0	-1	False	231750	0.0	231750	0
458	drugs520	0	-1	False	411750	0.0	411750	0
459	drugs520	0	-1	True	771700	1649.46	771700	0
460	drugs520	0	-1	True	777200	2670.46	777200	0
461	drugs520	0	-1	True	1094400	2363.11	1094400	0
462	drugs520	0	-1	False	27320	0.0	27320	0
463	drugs520	0	-1	True	80480	1014.32	80480	0
464	drugs520	0	-1	False	14150	0.0	14150	0
465	drugs520	0	-1	False	64020	0.0	64020	0
466	drugs520	0	-1	True	118060	1068.44	118060	0
467	drugs520	0	-1	False	22370	0.0	22370	0
468	drugs520	0	-1	False	28790	0.0	28790	0
469	drugs520	0	-1	False	22970	0.0	22970	0
470	drugs520	0	-1	False	29050	0.0	29050	0
471	drugs520	0	-1	False	35200	0.0	35200	0
472	drugs520	0	-1	False	53410	0.0	53410	0
473	drugs520	0	-1	False	33370	0.0	33370	0
474	drugs520	0	-1	True	128790	931.207	128790	0
475	drugs520	0	-1	False	20260	0.0	20260	0
476	drugs520	0	-1	False	28480	0.0	28480	0
477	drugs520	0	-1	False	43570	0.0	43570	0
478	drugs520	0	-1	False	38730	0.0	38730	0
479	drugs520	0	-1	False	38730	0.0	38730	0
480	drugs520	0	-1	True	128570	1237.36	128570	0
481	drugs520	0	-1	False	38730	0.0	38730	0
482	drugs520	0	-1	False	58750	0.0	58750	0
483	drugs520	0	-1	False	53020	0.0	53020	0
484	drugs520	0	-1	False	49400	0.0	49400	0
485	drugs520	0	-1	False	39130	0.0	39130	0
486	drugs520	0	-1	False	57850	0.0	57850	0
487	drugs520	0	-1	False	54710	0.0	54710	0
488	drugs520	0	-1	False	23980	0.0	23980	0
489	drugs520	0	-1	False	47000	0.0	47000	0
490	drugs520	0	-1	False	54940	0.0	54940	0
491	drugs520	0	-1	True	129420	1260.27	129420	0
492	drugs520	0	-1	False	71440	0.0	71440	0
493	drugs520	0	-1	True	129450	1414.94	129450	0
494	drugs520	0	-1	False	15780	0.0	15780	0
495	drugs520	0	-1	False	101780	0.0	101780	0
496	drugs520	0	-1	False	157170	0.0	157170	0
497	drugs520	0	-1	False	17950	0.0	17950	0
498	drugs520	0	-1	False	21200	0.0	21200	0
499	drugs520	0	-1	False	27210	0.0	27210	0
500	drugs520	0	-1	False	125770	0.0	125770	0
501	drugs520	0	-1	False	354390	0.0	354390	0
502	drugs520	0	-1	False	11060	0.0	11060	0
503	drugs520	0	-1	True	707650	1503.85	707650	0
504	drugs520	0	-1	False	337710	0.0	337710	0
505	drugs520	0	-1	False	150900	0.0	150900	0
506	drugs520	0	-1	True	709360	2271.4	709360	0
507	drugs520	0	-1	True	6120	69.3624	6120	0
508	drugs520	0	-1	False	16460	0.0	16460	0
509	drugs520	0	-1	False	16900	0.0	16900	0
510	drugs520	1701404	2	True	113250	594.364	113250	415.62939453125
511	drugs520	2097898	2	False	44180	0.0	44180	0
512	drugs520	2097898	2	False	58190	0.0	58190	0
513	drugs520	2097898	2	False	10260	0.0	10260	0
514	drugs520	0	-1	True	49180	569.229	49180	0
515	嗨	2245776	2	True	33530	66.7999	33530	39.20044708251953
516	秘制小汉堡	0	-1	False	111550	114.02	111550	0
517	秘制小汉堡	816327	2	True	402900	0.00329703	402900	0.0027513611130416393
518	秘制小汉堡	0	-1	False	109820	22.9189	109820	0
519	秘制小汉堡	0	-1	True	119260	122.632	119260	0
520	秘制小汉堡	0	-1	True	340890	46.8476	340890	0
521	秘制小汉堡	0	-1	False	57640	117.94	57640	0
522	秘制小汉堡	0	-1	False	57250	133.919	57250	0
523	秘制小汉堡	0	-1	False	11340	0.0	11340	0
524	秘制小汉堡	0	-1	False	55770	118.304	55770	0
525	秘制小汉堡	0	-1	False	11340	0.0	11340	0
526	秘制小汉堡	0	-1	False	52060	89.6414	52060	0
527	秘制小汉堡	0	-1	False	10910	0.0	10910	0
528	秘制小汉堡	0	-1	False	10380	0.0	10380	0
529	秘制小汉堡	0	-1	False	55190	77.2029	55190	0
