成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1928	卡狗粉丝	0	-1	False	646406	0.0	646406	0
1929	我去要饭	0	-1	False	56154	0.0	56154	0
1930	我去要饭	0	-1	False	112920	0.0	112920	0
1931	我去要饭	0	-1	False	353961	0.0	353961	0
1932	卡狗粉丝	839947	5	False	102670	0.0	102670	0
1933	我去要饭	0	-1	False	74454	0.0	74454	0
1934	我去要饭	0	-1	False	252645	0.0	252645	0
1935	卡狗粉丝	0	-1	False	17739220	0.0	17739220	0
1936	卡狗粉丝	0	-1	False	5051350	0.0	5051350	0
1937	卡狗粉丝	0	-1	False	7717430	0.0	7717430	0
1938	我去要饭	0	-1	False	1061700	0.0	1061700	0
1939	我去要饭	0	-1	True	1002369	0.0	1002369	0
1940	我去要饭	0	-1	False	1038230	0.0	1038230	0
1941	我去要饭	0	-1	False	2242700	0.0	2242700	0
1942	我去要饭	2155470	2	True	1673875	122.439	1673875	122.43868255615234
1943	我去要饭	0	-1	False	1654188	0.0	1654188	0
1944	我去要饭	1383825	5	False	4785118	0.0	4785118	0
1945	我去要饭	0	-1	False	3095360	0.0	3095360	0
1946	我去要饭	1773961	2	True	1769728	54.1322	1769728	54.13222885131836
1947	我去要饭	0	-1	False	2795678	0.0	2795678	0
1948	我去要饭	0	-1	False	117410	0.0	117410	0
1949	我去要饭	0	-1	False	1737730	0.0	1737730	0
1950	我去要饭	460513	5	False	242790	0.0	242790	0
1951	我去要饭	460515	5	False	1324260	0.0	1324260	0
1952	我去要饭	0	-1	False	1006080	0.0	1006080	0
1953	我去要饭	1219310	5	False	1359800	0.0	1359800	0
1954	我去要饭	0	-1	False	1576056	0.0	1576056	0
1955	我去要饭	0	-1	True	6165060	0.0	6165060	0
1956	菜橘子MAA	0	-1	False	1779520	0.0	1779520	0
1957	菜橘子MAA	0	-1	False	550730	0.0	550730	0
1958	我去要饭	1476582	2	True	1868504	35.6046	1868504	35.60458755493164
1959	菜橘子MAA	0	-1	True	3253650	0.0	3253650	0
1960	我去要饭	821785	5	True	9	0.0	9	0
1961	我去要饭	0	-1	False	25379010	0.0	25379010	0
1962	我去要饭	0	-1	False	479473	0.0	479473	0
1963	我去要饭	0	-1	False	122478	0.0	122478	0
1964	我去要饭	0	-1	False	285267	0.0	285267	0
1965	我去要饭	0	-1	False	540361	0.0	540361	0
1966	我去要饭	0	-1	True	796666	0.0	796666	0
1967	我去要饭	0	-1	False	110212	0.0	110212	0
1968	我去要饭	0	-1	True	3172800	0.0	3172800	0
1969	我去要饭	0	-1	False	486894	0.0	486894	0
1970	我去要饭	0	-1	True	1639480	0.0	1639480	0
1971	我去要饭	2182118	2	True	1816320	38.6681	1816320	38.66813278198242
1972	我去要饭	0	-1	False	4449580	0.0	4449580	0
1973	我去要饭	0	-1	True	65110960	0.0	65110960	0
1974	我去要饭	0	-1	False	1241710	0.0	1241710	0
1975	我去要饭	0	-1	False	10667180	0.0	10667180	0
1976	我去要饭	1401254	2	False	85187	0.0	85187	0
1977	我去要饭	1401254	2	False	73306	0.0	73306	0
1978	我去要饭	1401254	2	True	2195954	235.075	2195954	235.07455444335938
1979	我去要饭	0	-1	False	297110	0.0	297110	0
1980	我去要饭	0	-1	False	1172520	0.0	1172520	0
1981	我去要饭	0	-1	False	649264	0.0	649264	0
1982	我去要饭	0	-1	False	3692517	0.0	3692517	0
1983	我去要饭	0	-1	True	5608214	0.0	5608214	0
1984	我去要饭	555797	2	False	1018040	0.0	1018040	0
1985	我去要饭	0	-1	False	681210	0.0	681210	0
1986	我去要饭	1557181	2	False	8368094	0.0	8368094	0
1987	我去要饭	1635388	2	False	4717525	0.0	4717525	0
1988	我去要饭	1849580	2	False	138520	0.0	138520	0
1989	我去要饭	1849580	2	False	23857010	0.0	23857010	0
1990	我去要饭	1822108	2	False	124910	0.0	124910	0
1991	我去要饭	1822108	2	False	5348620	0.0	5348620	0
1992	凋叶粽	0	-1	False	46236	0.0	46236	0
1993	我去要饭	2060305	2	False	57013	0.0	57013	0
1994	我去要饭	2060305	2	False	34532	0.0	34532	0
1995	我去要饭	2060305	2	False	56249	0.0	56249	0
1996	我去要饭	2060305	2	False	238481	0.0	238481	0
1997	凋叶粽	0	-1	True	428770	0.0	428770	0
1998	我去要饭	0	-1	False	7077280	0.0	7077280	0
1999	我去要饭	1951034	2	False	100920	0.0	100920	0
