成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
2580	Yuans	2233987	2	False	127400	0.0	127400	0
2581	Yuans	0	-1	False	2062700	0.0	2062700	0
2582	3125698280	0	-1	False	207819	0.0	207819	0
2583	路过的差异粉丝	0	-1	True	97	0.001	97	0
2584	Yuans	0	-1	False	1681313	0.0	1681313	0
2585	Yuans	0	-1	False	157703	0.0	157703	0
2586	Yuans	0	-1	False	1114463	0.0	1114463	0
2587	路过的差异粉丝	0	-1	False	5908052	0.0	5908052	0
2588	Yuans	0	-1	False	346681	0.0	346681	0
2589	路过的差异粉丝	0	-1	False	690490	0.0	690490	0
2590	Yuans	0	-1	True	1738165	78.4201	1738165	0
2591	路过的差异粉丝	736214	2	False	337578	0.0	337578	0
2592	路过的差异粉丝	0	-1	True	450716	99.9771	450716	0
2593	路过的差异粉丝	0	-1	False	109410	0.0	109410	0
2594	路过的差异粉丝	0	-1	True	2317870	87.8945	2317870	0
2595	Yuans	0	-1	True	8572758	139.99	8572758	0
2596	路过的差异粉丝	0	-1	True	1085410	67.9058	1085410	0
2597	Hynix	0	-1	False	18254	0.0	18254	0
2598	路过的差异粉丝	0	-1	False	407600	0.0	407600	0
2599	路过的差异粉丝	1561394	2	False	77329	0.0	77329	0
2600	路过的差异粉丝	1561394	2	False	83510	0.0	83510	0
2601	路过的差异粉丝	1561394	2	True	1056593	86.9298	1056593	89.71281433105469
2602	路过的差异粉丝	0	-1	False	200290	0.0	200290	0
2603	Hynix	0	-1	False	169470	0.0	169470	0
2604	Hynix	0	-1	False	312560	275.163	312560	0
2605	CYXC	0	-1	True	145460	6.89237	145460	0
2606	Yuans	0	-1	False	916450	0.0	916450	0
2607	Hynix	0	-1	False	13180	0.0	13180	0
2608	CYXC	0	-1	True	150862	4.81214	150862	0
2609	Yuans	0	-1	False	1731036	0.0	1731036	0
2610	Hynix	0	-1	True	365350	359.234	365350	0
2611	Hynix	0	-1	False	11210	0.0	11210	0
2612	CYXC	0	-1	True	132674	12.8686	132674	0
2613	Hynix	0	-1	False	22190	0.0	22190	0
2614	Hynix	0	-1	False	22470	0.0	22470	0
2615	Hynix	0	-1	False	295160	0.0	295160	0
2616	Yuans	0	-1	False	2565062	0.0	2565062	0
2617	Hynix	0	-1	True	721300	156.205	721300	0
2618	CYXC	0	-1	True	571230	7.63999	571230	0
2619	Hynix	0	-1	False	372930	0.0	372930	0
2620	Yuans	0	-1	False	769780	0.0	769780	0
2621	Yuans	0	-1	False	763655	0.0	763655	0
2622	CYXC	0	-1	True	120346	4.93615	120346	0
2623	Duno	1729203	2	True	33222	5.41443	33222	6.526284694671631
2624	Hynix	0	-1	True	959500	192.758	959500	0
2625	Yuans	525278	5	False	49940	0.0	49940	0
2626	Hynix	0	-1	False	47600	0.0	47600	0
2627	Hynix	0	-1	False	185270	0.0	185270	0
2628	Yuans	0	-1	False	585558	0.0	585558	0
2629	Duno	0	-1	True	681089	79.863	681089	0
2630	Hynix	0	-1	False	139450	0.0	139450	0
2631	Duno	714001	2	False	62698	0.0	62698	0
2632	Duno	714001	2	False	31233	0.0	31233	0
2633	Hynix	0	-1	False	249090	0.0	249090	0
2634	Duno	714001	2	False	68689	0.0	68689	0
2635	Duno	0	-1	False	24172	0.0	24172	0
2636	Yuans	1869933	2	False	374358	0.0	374358	0
2637	Duno	0	-1	True	299603	46.67	299603	0
2638	Yuans	1869933	2	True	1999763	250.171	1999763	250.11936950683594
2639	Hynix	0	-1	True	672138	151.446	672138	0
2640	Hynix	0	-1	False	114980	0.0	114980	0
2641	Duno	0	-1	False	696211	66.5818	696211	0
2642	Duno	0	-1	True	861818	81.2068	861818	0
2643	CYXC	0	-1	False	13154	0.0	13154	0
2644	Hynix	0	-1	False	629900	0.0	629900	0
2645	Duno	107875	2	False	347465	0.0	347465	0
2646	Duno	0	-1	False	79614	0.0	79614	0
2647	Megumi	1917082	2	True	2120580	182.631	2120580	201.35220336914062
2648	Hynix	0	-1	True	680582	85.5172	680582	0
2649	Duno	0	-1	True	1216442	77.2865	1216442	0
2650	CYXC	2065549	2	True	310802	19.8223	310802	20.103302001953125
2651	Yuans	2233984	2	True	687212	89.156	687212	94.6552505493164
2652	CYXC	0	-1	False	22830	0.0	22830	0
2653	Duno	2014470	2	True	555847	72.5559	555847	72.54267883300781
2654	Hynix	0	-1	True	263263	25.0585	263263	0
2655	CYXC	0	-1	False	51830	0.0	51830	0
2656	Hynix	0	-1	False	31819	0.0	31819	0
2657	CYXC	0	-1	False	33748	0.0	33748	0
2658	appel666	0	-1	True	150436	3.44325	150436	0
2659	Hynix	0	-1	False	22076	0.0	22076	0
2660	CYXC	0	-1	False	27660	0.0	27660	0
2661	Hynix	0	-1	False	15367	0.0	15367	0
2662	Yuans	0	-1	True	1759038	167.412	1759038	0
2663	Hynix	0	-1	False	37800	0.0	37800	0
2664	CYXC	0	-1	True	93960	11.7187	93960	0
2665	Duno	1816243	2	False	2729928	0.0	2729928	0
2666	Hynix	0	-1	False	56146	0.0	56146	0
2667	Hynix	0	-1	False	39773	0.0	39773	0
2668	CYXC	0	-1	True	99248	11.7286	99248	0
2669	Duno	0	-1	False	177430	0.0	177430	0
2670	Hynix	0	-1	False	176706	0.0	176706	0
2671	appel666	0	-1	False	212238	3.34292	212238	0
2672	CYXC	0	-1	False	82107	10.9201	82107	0
2673	CYXC	0	-1	False	24984	0.0	24984	0
2674	CYXC	0	-1	False	37213	0.0	37213	0
2675	Duno	1892257	2	False	2269702	0.0	2269702	0
2676	Hynix	0	-1	False	480746	0.0	480746	0
2677	CYXC	0	-1	False	50050	0.0	50050	0
2678	CYXC	0	-1	False	24384	0.0	24384	0
2679	appel666	0	-1	True	286802	1.76667	286802	0
2680	CYXC	0	-1	False	200498	0.0	200498	0
2681	Duno	1911308	2	False	1055777	0.0	1055777	0
2682	CYXC	0	-1	False	116160	0.0	116160	0
2683	Hynix	0	-1	True	661330	70.8256	661330	0
2684	CYXC	1267489	2	False	31170	0.0	31170	0
2685	Yuans	2213673	2	False	2891734	0.0	2891734	0
2686	Duno	1902624	2	True	850111	48.0387	850111	50.79901885986328
2687	Hynix	0	-1	False	241970	0.0	241970	0
2688	CYXC	1267489	2	False	29542	0.0	29542	0
2689	Yuans	0	-1	False	12580	0.0	12580	0
2690	CYXC	1267489	2	False	92150	0.0	92150	0
2691	Hynix	0	-1	False	228220	0.0	228220	0
2692	Yuans	0	-1	False	1776898	0.0	1776898	0
2693	CYXC	1267489	2	True	219326	21.0647	219326	21.282169342041016
2694	Duno	0	-1	True	3188688	133.485	3188688	0
2695	CYXC	0	-1	False	21882	0.0	21882	0
2696	Hynix	0	-1	False	288120	0.0	288120	0
2697	CYXC	0	-1	True	69120	9.22181	69120	0
2698	Hynix	0	-1	False	116680	0.0	116680	0
2699	CYXC	0	-1	False	17888	0.0	17888	0
2700	Duno	0	-1	False	533894	0.0	533894	0
2701	CYXC	0	-1	False	19882	0.0	19882	0
2702	Hynix	0	-1	False	251120	0.0	251120	0
2703	CYXC	0	-1	False	96840	0.0	96840	0
2704	CYXC	0	-1	False	21350	0.0	21350	0
2705	Duno	0	-1	True	2092942	101.045	2092942	0
2706	Yuans	0	-1	True	3089480	51.8891	3089480	0
2707	CYXC	0	-1	True	158942	22.5523	158942	0
2708	Hynix	0	-1	False	519374	65.5794	519374	0
2709	Duno	2201460	2	False	614310	0.0	614310	0
2710	CYXC	0	-1	True	245982	35.6887	245982	0
2711	Duno	0	-1	False	128967	0.0	128967	0
2712	CYXC	0	-1	False	98065	0.0	98065	0
2713	Hynix	0	-1	False	11640	0.0	11640	0
2714	CYXC	0	-1	False	29900	0.0	29900	0
2715	Duno	0	-1	False	572037	0.0	572037	0
2716	CYXC	0	-1	True	100098	11.392	100098	0
2717	CYXC	0	-1	False	56221	0.0	56221	0
2718	Hynix	0	-1	False	696652	114.311	696652	0
2719	Duno	0	-1	True	1346397	78.795	1346397	0
2720	CYXC	22538	0	True	4	0.001	12	0.001
2721	Yuans	0	-1	True	19518165	141.334	19518165	0
2722	Hynix	0	-1	True	722514	145.358	722514	0
2723	Duno	869197	2	True	1096211	68.7963	1096211	88.16619873046875
2724	Hynix	0	-1	False	66450	0.0	66450	0
2725	Duno	869197	2	False	208382	0.0	208382	0
2726	Hynix	0	-1	False	110390	0.0	110390	0
2727	CYXC	2118443	2	False	207516	0.0	207516	0
2728	Yuans	0	-1	False	1720678	0.0	1720678	0
2729	Hynix	0	-1	False	239120	0.0	239120	0
2730	Yuans	0	-1	False	297975	0.0	297975	0
2731	Hynix	0	-1	False	78450	0.0	78450	0
2732	Duno	1642274	2	False	811850	0.0	811850	0
2733	CYXC	0	-1	False	477594	0.0	477594	0
2734	Yuans	0	-1	False	239654	0.0	239654	0
2735	Yuans	0	-1	False	148747	0.0	148747	0
2736	CYXC	0	-1	False	24930	0.0	24930	0
2737	Duno	1608832	2	False	104625	0.0	104625	0
2738	Hynix	0	-1	True	632984	59.9949	632984	0
2739	Hynix	0	-1	False	28260	0.0	28260	0
2740	Hynix	0	-1	False	27150	0.0	27150	0
2741	CYXC	0	-1	False	203588	0.0	203588	0
2742	Hynix	0	-1	False	99900	0.0	99900	0
2743	Duno	1608832	2	False	727867	0.0	727867	0
2744	CYXC	0	-1	False	439446	0.0	439446	0
2745	Yuans	933875	2	True	4096110	131.451	4096110	152.45761108398438
2746	Duno	0	-1	True	681818	35.8511	681818	0
2747	Hynix	0	-1	False	816410	103.516	816410	0
2748	Yuans	933875	2	False	742892	0.0	742892	0
2749	Yuans	933875	2	False	41918	0.0	41918	0
2750	Duno	1944412	2	True	144027	12.5124	144027	12.512389183044434
2751	Yuans	933875	2	False	157414	0.0	157414	0
2752	CYXC	0	-1	False	346254	0.0	346254	0
2753	一起打饭	1307291	2	False	723360	0.0	723360	0
2754	Duno	1944412	2	False	236135	0.0	236135	0
2755	CYXC	0	-1	False	223946	0.0	223946	0
2756	Hynix	0	-1	True	1036740	204.424	1036740	0
2757	Duno	1627148	2	True	555707	106.341	555707	109.05584716796875
2758	一起打饭	0	-1	False	695448	0.0	695448	0
2759	CYXC	0	-1	False	400478	0.0	400478	0
2760	CYXC	0	-1	False	26700	0.0	26700	0
2761	Duno	1610746	2	True	244658	52.7099	244658	54.90437316894531
2762	Duno	1611276	2	False	359207	0.0	359207	0
2763	一起打饭	0	-1	False	359479	0.0	359479	0
2764	Yuans	0	-1	True	99	0.001	99	0
2765	Hynix	0	-1	True	759478	120.223	759478	0
2766	Duno	1612453	2	True	241766	57.4651	241766	58.65846633911133
2767	Hynix	0	-1	False	50960	0.0	50960	0
2768	一起打饭	1288429	2	False	618712	0.0	618712	0
2769	Hynix	0	-1	False	81130	0.0	81130	0
2770	CYXC	131891	3	False	194620	0.0	194620	0
2771	Hynix	0	-1	False	49676	0.0	49676	0
2772	Duno	0	-1	False	766293	0.0	766293	0
2773	Yuans	1292314	0	True	49	0.001	49	0.001
2774	一起打饭	0	-1	False	1242939	0.0	1242939	0
2775	Hynix	0	-1	True	755294	84.3793	755294	0
2776	Yuans	0	-1	False	367440	0.0	367440	0
2777	Duno	0	-1	True	757599	38.8438	757599	0
2778	Yuans	0	-1	False	538250	0.0	538250	0
2779	CYXC	0	-1	False	41022	0.0	41022	0
2780	Hynix	0	-1	False	214780	0.0	214780	0
2781	Duno	0	-1	True	3111190	113.318	3111190	0
2782	Duno	0	-1	False	198460	0.0	198460	0
2783	一起打饭	1046830	5	True	1710312	70.9468	1710312	72.1662368774414
2784	Yuans	0	-1	True	2	0.001	2	0
2785	Duno	0	-1	True	1394008	112.81	1394008	0
2786	Duno	0	-1	False	21183	0.0	21183	0
2787	CYXC	0	-1	False	166101	0.0	166101	0
2788	Yuans	0	-1	False	56750	0.0	56750	0
2789	Duno	0	-1	True	885134	41.6674	885134	0
2790	CYXC	0	-1	True	260950	9.74101	260950	0
2791	Hynix	0	-1	True	1894470	179.704	1894470	0
2792	Yuans	0	-1	True	6	0.001	6	0
2793	Hynix	0	-1	False	213080	0.0	213080	0
2794	一起打饭	1283136	2	False	793966	0.0	793966	0
2795	CYXC	2118445	2	False	352902	0.0	352902	0
2796	Duno	0	-1	False	1039730	0.0	1039730	0
2797	Hynix	0	-1	False	222680	0.0	222680	0
2798	Duno	1944926	2	False	183975	0.0	183975	0
2799	CYXC	2118445	2	False	359884	0.0	359884	0
2800	Hynix	0	-1	False	165610	0.0	165610	0
2801	Hynix	0	-1	False	24020	0.0	24020	0
2802	Duno	0	-1	False	1007105	0.0	1007105	0
2803	Hynix	0	-1	False	15190	0.0	15190	0
